Scope,Category,2026-01-01,2026-02-01,2026-03-01,2026-04-01,2026-05-01,2026-06-01,2026-07-01,2026-08-01,2026-09-01,2026-10-01,2026-11-01,2026-12-01
Куркино,P&ТО оргтехники,41800.0,57750.00000000001,36300.0,67650.0,35750.0,29700.000000000004,73149.99999999997,35750.0,55000.00000000001,35750.0,55000.00000000001,35750.0
Куркино,"Связь, интернет",133064.9845,130534.39049999998,139510.517,135445.005,119934.961,114201.62049999998,114726.70299999996,126453.462,132848.86199999996,138436.31199999995,138491.312,132991.312
Куркино,IT техподдержка,40405.08,53960.08,35372.58,71991.58,34492.58,33942.58000000001,77112.57999999999,33442.58000000001,33442.58000000001,33442.58000000001,33442.58000000001,33442.58000000001
Каширка,P&ТО оргтехники,41800.0,57750.00000000001,36300.0,67650.0,35750.0,29700.000000000004,73149.99999999997,35750.0,55000.00000000001,35750.0,55000.00000000001,35750.0
Каширка,"Связь, интернет",133064.9845,130534.39049999998,139510.517,135445.005,119934.961,114201.62049999998,114726.70299999996,126453.462,132848.86199999996,138436.31199999995,138491.312,132991.312
Каширка,IT техподдержка,40405.08,53960.08,35372.58,71991.58,34492.58,33942.58000000001,77112.57999999999,33442.58000000001,33442.58000000001,33442.58000000001,33442.58000000001,33442.58000000001
